Plot,SiteCode,SiteCode_Plot,AcceptedGenus,AcceptedSpecies,NameCheck,Genus_Species_combo,PercentCoverAlive,PercentCoverDead,AbundanceAlive_count,AbundanceDead_count,MeanCanopyDiameter_cm,Clonal,SeasonallyApparent,Name,reflectance
T070,capepoint,capepoint_T070,Restio,triticeus,9625.0,Restio triticeus,1.25,0.0,4.0,0.0,40.0,yes,,T265; Elegia juncea; Ericaceae,"[[-0.02024787 -0.01375011 -0.01054752 ...  0.04528236  0.04581272
   0.04571736]
 [ 0.04649508  0.04716193  0.04514706 ...  0.17831278  0.16971205
   0.16505097]
 [ 0.16801262  0.16943024  0.17252778 ...  0.23080109  0.23324728
   0.23198079]
 ...
 [ 0.16145037  0.14862442  0.13634966 ...  0.10307359  0.10718583
   0.09874225]
 [ 0.09082388  0.10382175  0.09841394 ...  0.08355355  0.0765717
   0.08797788]
 [ 0.08289886  0.0789287   0.0811541  ...  0.14366387  0.14475441
   0.12625693]]"
T070,capepoint,capepoint_T070,Erica,plukenetii,4102.0,Erica plukenetii,1.0,0.0,2.0,0.0,50.0,no,,T265; Elegia juncea; Ericaceae,"[[-0.02024787 -0.01375011 -0.01054752 ...  0.04528236  0.04581272
   0.04571736]
 [ 0.04649508  0.04716193  0.04514706 ...  0.17831278  0.16971205
   0.16505097]
 [ 0.16801262  0.16943024  0.17252778 ...  0.23080109  0.23324728
   0.23198079]
 ...
 [ 0.16145037  0.14862442  0.13634966 ...  0.10307359  0.10718583
   0.09874225]
 [ 0.09082388  0.10382175  0.09841394 ...  0.08355355  0.0765717
   0.08797788]
 [ 0.08289886  0.0789287   0.0811541  ...  0.14366387  0.14475441
   0.12625693]]"
T071,capepoint,capepoint_T071,Elytropappus,scaber,3531.0,Elytropappus scaber,25.0,5.0,35.0,11.0,97.5,no,,T081; Cliffortia falcata; Asteraceae,"[[-0.00924751 -0.0113658  -0.00696199 ...  0.07502627  0.05686259
   0.05402803]
 [ 0.06303954  0.06479883  0.05768609 ...  0.19244574  0.20728064
   0.20276499]
 [ 0.19445418  0.20373297  0.20663357 ...  0.2684002   0.26010796
   0.26641178]
 ...
 [ 0.18200016  0.1682987   0.16589403 ...  0.1356759   0.14655256
   0.13079785]
 [ 0.12425804  0.1393733   0.13084601 ...  0.11724853  0.11304927
   0.12351751]
 [ 0.11740684  0.12617397  0.10814261 ...  0.19465351  0.23293065
   0.20743132]]"
T071,capepoint,capepoint_T071,Metalasia,densa,7321.0,Metalasia densa,23.75,4.0,48.0,10.0,75.0,no,,T081; Cliffortia falcata; Asteraceae,"[[-0.00924751 -0.0113658  -0.00696199 ...  0.07502627  0.05686259
   0.05402803]
 [ 0.06303954  0.06479883  0.05768609 ...  0.19244574  0.20728064
   0.20276499]
 [ 0.19445418  0.20373297  0.20663357 ...  0.2684002   0.26010796
   0.26641178]
 ...
 [ 0.18200016  0.1682987   0.16589403 ...  0.1356759   0.14655256
   0.13079785]
 [ 0.12425804  0.1393733   0.13084601 ...  0.11724853  0.11304927
   0.12351751]
 [ 0.11740684  0.12617397  0.10814261 ...  0.19465351  0.23293065
   0.20743132]]"
T071,capepoint,capepoint_T071,Cliffortia,falcata,2234.0,Cliffortia falcata,15.75,0.0,38.0,0.0,71.25,no,,T081; Cliffortia falcata; Asteraceae,"[[-0.00924751 -0.0113658  -0.00696199 ...  0.07502627  0.05686259
   0.05402803]
 [ 0.06303954  0.06479883  0.05768609 ...  0.19244574  0.20728064
   0.20276499]
 [ 0.19445418  0.20373297  0.20663357 ...  0.2684002   0.26010796
   0.26641178]
 ...
 [ 0.18200016  0.1682987   0.16589403 ...  0.1356759   0.14655256
   0.13079785]
 [ 0.12425804  0.1393733   0.13084601 ...  0.11724853  0.11304927
   0.12351751]
 [ 0.11740684  0.12617397  0.10814261 ...  0.19465351  0.23293065
   0.20743132]]"
T071,capepoint,capepoint_T071,Passerina,corymbosa,8513.0,Passerina corymbosa,9.75,0.0,50.0,0.0,30.0,no,,T081; Cliffortia falcata; Asteraceae,"[[-0.00924751 -0.0113658  -0.00696199 ...  0.07502627  0.05686259
   0.05402803]
 [ 0.06303954  0.06479883  0.05768609 ...  0.19244574  0.20728064
   0.20276499]
 [ 0.19445418  0.20373297  0.20663357 ...  0.2684002   0.26010796
   0.26641178]
 ...
 [ 0.18200016  0.1682987   0.16589403 ...  0.1356759   0.14655256
   0.13079785]
 [ 0.12425804  0.1393733   0.13084601 ...  0.11724853  0.11304927
   0.12351751]
 [ 0.11740684  0.12617397  0.10814261 ...  0.19465351  0.23293065
   0.20743132]]"
T071,capepoint,capepoint_T071,Olea,capensis,8005.0,Olea capensis,5.0,0.0,11.0,0.0,70.0,yes,,T081; Cliffortia falcata; Asteraceae,"[[-0.00924751 -0.0113658  -0.00696199 ...  0.07502627  0.05686259
   0.05402803]
 [ 0.06303954  0.06479883  0.05768609 ...  0.19244574  0.20728064
   0.20276499]
 [ 0.19445418  0.20373297  0.20663357 ...  0.2684002   0.26010796
   0.26641178]
 ...
 [ 0.18200016  0.1682987   0.16589403 ...  0.1356759   0.14655256
   0.13079785]
 [ 0.12425804  0.1393733   0.13084601 ...  0.11724853  0.11304927
   0.12351751]
 [ 0.11740684  0.12617397  0.10814261 ...  0.19465351  0.23293065
   0.20743132]]"
T071,capepoint,capepoint_T071,Restio,capensis,9498.0,Restio capensis,3.0,0.0,12.0,0.0,60.0,yes,,T081; Cliffortia falcata; Asteraceae,"[[-0.00924751 -0.0113658  -0.00696199 ...  0.07502627  0.05686259
   0.05402803]
 [ 0.06303954  0.06479883  0.05768609 ...  0.19244574  0.20728064
   0.20276499]
 [ 0.19445418  0.20373297  0.20663357 ...  0.2684002   0.26010796
   0.26641178]
 ...
 [ 0.18200016  0.1682987   0.16589403 ...  0.1356759   0.14655256
   0.13079785]
 [ 0.12425804  0.1393733   0.13084601 ...  0.11724853  0.11304927
   0.12351751]
 [ 0.11740684  0.12617397  0.10814261 ...  0.19465351  0.23293065
   0.20743132]]"
T071,capepoint,capepoint_T071,Pseudopentameris,macrantha,9220.0,Pseudopentameris macrantha,2.0,0.0,2.0,0.0,120.0,yes,,T081; Cliffortia falcata; Asteraceae,"[[-0.00924751 -0.0113658  -0.00696199 ...  0.07502627  0.05686259
   0.05402803]
 [ 0.06303954  0.06479883  0.05768609 ...  0.19244574  0.20728064
   0.20276499]
 [ 0.19445418  0.20373297  0.20663357 ...  0.2684002   0.26010796
   0.26641178]
 ...
 [ 0.18200016  0.1682987   0.16589403 ...  0.1356759   0.14655256
   0.13079785]
 [ 0.12425804  0.1393733   0.13084601 ...  0.11724853  0.11304927
   0.12351751]
 [ 0.11740684  0.12617397  0.10814261 ...  0.19465351  0.23293065
   0.20743132]]"
T071,capepoint,capepoint_T071,Willdenowia,glomerata,11620.0,Willdenowia glomerata,2.0,0.0,1.0,0.0,150.0,yes,,T081; Cliffortia falcata; Asteraceae,"[[-0.00924751 -0.0113658  -0.00696199 ...  0.07502627  0.05686259
   0.05402803]
 [ 0.06303954  0.06479883  0.05768609 ...  0.19244574  0.20728064
   0.20276499]
 [ 0.19445418  0.20373297  0.20663357 ...  0.2684002   0.26010796
   0.26641178]
 ...
 [ 0.18200016  0.1682987   0.16589403 ...  0.1356759   0.14655256
   0.13079785]
 [ 0.12425804  0.1393733   0.13084601 ...  0.11724853  0.11304927
   0.12351751]
 [ 0.11740684  0.12617397  0.10814261 ...  0.19465351  0.23293065
   0.20743132]]"
T071,capepoint,capepoint_T071,Corymbium,africanum,2493.0,Corymbium africanum,1.75,0.0,4.0,0.0,60.0,yes,,T081; Cliffortia falcata; Asteraceae,"[[-0.00924751 -0.0113658  -0.00696199 ...  0.07502627  0.05686259
   0.05402803]
 [ 0.06303954  0.06479883  0.05768609 ...  0.19244574  0.20728064
   0.20276499]
 [ 0.19445418  0.20373297  0.20663357 ...  0.2684002   0.26010796
   0.26641178]
 ...
 [ 0.18200016  0.1682987   0.16589403 ...  0.1356759   0.14655256
   0.13079785]
 [ 0.12425804  0.1393733   0.13084601 ...  0.11724853  0.11304927
   0.12351751]
 [ 0.11740684  0.12617397  0.10814261 ...  0.19465351  0.23293065
   0.20743132]]"
T071,capepoint,capepoint_T071,Leucospermum,conocarpodendron,6747.0,Leucospermum conocarpodendron,1.0,0.0,1.0,0.0,80.0,no,,T081; Cliffortia falcata; Asteraceae,"[[-0.00924751 -0.0113658  -0.00696199 ...  0.07502627  0.05686259
   0.05402803]
 [ 0.06303954  0.06479883  0.05768609 ...  0.19244574  0.20728064
   0.20276499]
 [ 0.19445418  0.20373297  0.20663357 ...  0.2684002   0.26010796
   0.26641178]
 ...
 [ 0.18200016  0.1682987   0.16589403 ...  0.1356759   0.14655256
   0.13079785]
 [ 0.12425804  0.1393733   0.13084601 ...  0.11724853  0.11304927
   0.12351751]
 [ 0.11740684  0.12617397  0.10814261 ...  0.19465351  0.23293065
   0.20743132]]"
T074,capepoint,capepoint_T074,Metalasia,muricata,7338.0,Metalasia muricata,13.75,4.875,22.0,7.0,95.0,no,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Leucadendron,coniferum,6669.0,Leucadendron coniferum,9.5,0.0,8.0,0.0,136.25,no,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Passerina,paleacea,8522.0,Passerina paleacea,7.25,0.5,22.0,2.0,57.5,no,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Helichrysum,patulum,5470.0,Helichrysum patulum,4.25,0.5,15.0,1.0,61.66666666666666,no,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Restio,vimineus,9635.0,Restio vimineus,3.875,0.0,27.0,0.0,43.75,yes,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Carpobrotus,acinaciformis,1850.0,Carpobrotus acinaciformis,2.5,0.0,2.0,0.0,140.0,yes,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Oedera,capensis,7980.0,Oedera capensis,2.25,0.0,2.0,0.0,87.5,no,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Willdenowia,teres,11628.0,Willdenowia teres,2.25,0.0,12.0,0.0,50.0,yes,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
T074,capepoint,capepoint_T074,Restio,eleocharis,9526.0,Restio eleocharis,1.5,0.0,8.0,0.0,60.0,yes,1.0,T075; Agathosma imbricata; Proteaceae,"[[-0.02726024 -0.02580875 -0.02726024 ...  0.00489914  0.00487676
   0.00444767]
 [ 0.00458601  0.00444767  0.0053748  ...  0.00672585  0.00010783
   0.00709735]
 [ 0.00010783 -0.0017179  -0.00431624 ... -0.00999999 -0.01000002
  -0.00999999]
 [-0.01000002  0.00084102  0.00195263 ...  0.03107548 -0.00254641
   0.00321074]]"
