Plot,SiteCode,SiteCode_Plot,AcceptedGenus,AcceptedSpecies,NameCheck,Genus_Species_combo,PercentCoverAlive,PercentCoverDead,AbundanceAlive_count,AbundanceDead_count,MeanCanopyDiameter_cm,Clonal,SeasonallyApparent
T013,Swartberg,Swartberg_T013,Thamnochortus,cinereus,10971,Thamnochortus cinereus,4.625,NA,25,NA,38.75,no,NA
T013,Swartberg,Swartberg_T013,Psoralea,axillaris,9258,Psoralea axillaris,3.375,NA,9,NA,75,no,NA
T013,Swartberg,Swartberg_T013,Stoebe,plumosa,10737,Stoebe plumosa,2.5,NA,8,NA,50,no,NA
T013,Swartberg,Swartberg_T013,Berkheya,NA,#N/A,Berkheya,0.75,NA,2,NA,50,yes,NA
T013,Swartberg,Swartberg_T013,Cliffortia,juniperina,2253,Cliffortia juniperina,0.75,NA,2,NA,45,no,NA
T013,Swartberg,Swartberg_T013,Cannomois,scirpoides,1784,Cannomois scirpoides,0.5,NA,1,NA,70,yes,NA
T013,Swartberg,Swartberg_T013,Erica,viridiflora,4274,Erica viridiflora,0.125,NA,2,NA,15,yes,NA
T014,Swartberg,Swartberg_T014,Pentameris,NA,#N/A,Pentameris,17.75,NA,115,NA,37.5,yes,NA
T014,Swartberg,Swartberg_T014,Erica,phaeocarpa,4086,Erica phaeocarpa,17,NA,170,NA,31.25,no,NA
T014,Swartberg,Swartberg_T014,Erica,fimbriata,3827,Erica fimbriata,8.25,NA,98,NA,32.5,no,NA
T014,Swartberg,Swartberg_T014,Erica,inamoena,3895,Erica inamoena,4,NA,33,NA,32.5,no,NA
T014,Swartberg,Swartberg_T014,Protea,punctata,9183,Protea punctata,3.0625,NA,16,NA,32.5,no,NA
T014,Swartberg,Swartberg_T014,Thamnochortus,cinereus,10971,Thamnochortus cinereus,2.5,NA,39,NA,26.25,no,NA
T014,Swartberg,Swartberg_T014,Hypodiscus,albo-aristatus,5881,Hypodiscus albo-aristatus,1.5,NA,9,NA,40,yes,NA
T014,Swartberg,Swartberg_T014,Protea,lorifolia,9167,Protea lorifolia,0.75,NA,2,NA,45,no,NA
T014,Swartberg,Swartberg_T014,Brunia,noduliflora,1638,Brunia noduliflora,0.25,NA,1,NA,40,yes,NA
T015,anysberg,anysberg_T015,Pteronia,pallens,9365,Pteronia pallens,12.25,0,47,1,31.25,no,NA
T015,anysberg,anysberg_T015,Hereroa,NA,#N/A,Hereroa,11.75,1,143,95,17.5,no,NA
T016,anysberg,anysberg_T016,Pteronia,pallens,9365,Pteronia pallens,8,0,42,0,36.75,no,1
T016,anysberg,anysberg_T016,Hereroa,NA,#N/A,Hereroa,4.5,0,152,0,20,no,1
T016,anysberg,anysberg_T016,Ruschia,spinosa,9964,Ruschia spinosa,1.25,0,8,0,40,no,1
T016,anysberg,anysberg_T016,Galenia,africana,4807,Galenia africana,0.25,0,4,0,20,no,1
T016,anysberg,anysberg_T016,Salsola,tuberculata,9999,Salsola tuberculata,0.25,0,4,0,15,no,1
T017,agulhas,agulhas_T017,Passerina,corymbosa,8513,Passerina corymbosa,20,NA,98,NA,45,no,NA
T017,agulhas,agulhas_T017,Metalasia,muricata,7338,Metalasia muricata,19.75,NA,80,NA,65,no,NA
T017,agulhas,agulhas_T017,Agathosma,cerefolium,175,Agathosma cerefolium,13,NA,80,NA,33.333333333333336,no,NA
T017,agulhas,agulhas_T017,Restio,eleocharis,9526,Restio eleocharis,10.5,NA,40,NA,46.666666666666664,yes,NA
T017,agulhas,agulhas_T017,Cassine,peragua,1860,Cassine peragua,7.5,NA,2,NA,200,yes,NA
T017,agulhas,agulhas_T017,Olea,exasperata,8007,Olea exasperata,4.5,NA,5,NA,70,yes,NA
T017,agulhas,agulhas_T017,Euclea,racemosa,4435,Euclea racemosa,3,NA,6,NA,70,yes,NA
T017,agulhas,agulhas_T017,Otholobium,bracteolatum,8172,Otholobium bracteolatum,2.5,NA,5,NA,70,no,NA
T018,agulhas,agulhas_T018,Protea,compacta,9143,Protea compacta,38.75,NA,27,NA,125,no,NA
T018,agulhas,agulhas_T018,Passerina,corymbosa,8513,Passerina corymbosa,19.25,NA,25,NA,87.5,no,NA
T018,agulhas,agulhas_T018,Leucadendron,salignum,6721,Leucadendron salignum,8.25,NA,3,NA,170,yes,NA
T018,agulhas,agulhas_T018,Cliffortia,stricta,2300,Cliffortia stricta,5,NA,11,NA,85,no,NA
T018,agulhas,agulhas_T018,Protea,longifolia,9165,Protea longifolia,3.75,NA,5,NA,80,no,NA
T018,agulhas,agulhas_T018,Searsia,lucida,10132,Searsia lucida,3.75,NA,1,NA,120,no,NA
T018,agulhas,agulhas_T018,Stipagrostis,zeyheri,10719,Stipagrostis zeyheri,3,NA,7,NA,70,no,NA
T019,agulhas,agulhas_T019,Restio,eleocharis,9526,Restio eleocharis,31.25,0,116,0,15,yes,1
T019,agulhas,agulhas_T019,Agathosma,serpyllacea,261,Agathosma serpyllacea,16,0,72,0,15,no,1
T019,agulhas,agulhas_T019,Olea,exasperata,8007,Olea exasperata,15,0,7,0,129,no,1
T019,agulhas,agulhas_T019,Acmadenia,obtusata,50,Acmadenia obtusata,9.5,0,34,0,21.25,no,1
T019,agulhas,agulhas_T019,Tenaxia,stricta,10876,Tenaxia stricta,1.75,0,2,0,70,no,1
T019,agulhas,agulhas_T019,Passerina,rigida,8526,Passerina rigida,1.25,0,4,0,45,no,1
T020,agulhas,agulhas_T020,Leucospermum,heterophyllum,6760,Leucospermum heterophyllum,33.75,0,6,0,210,no,1
T020,agulhas,agulhas_T020,Protea,longifolia,9165,Protea longifolia,33.75,7,20,6,147.5,no,1
T020,agulhas,agulhas_T020,Erica,imbricata,3893,Erica imbricata,6.25,0,39,0,12.5,no,1
T020,agulhas,agulhas_T020,Restio,monanthos,9559,Restio monanthos,5.5,0,96,0,15,yes,1
T020,agulhas,agulhas_T020,Serruria,fasciflora,10441,Serruria fasciflora,2.5,0,2,0,90,no,1
T021,swartberg,swartberg_T021,Protea,repens,9185,Protea repens,28.75,NA,19,NA,60,no,NA
T021,swartberg,swartberg_T021,Mastersiella,purpurea,7167,Mastersiella purpurea,12.75,NA,55,NA,37.5,yes,NA
T021,swartberg,swartberg_T021,Cannomois,scirpoides,1784,Cannomois scirpoides,10.75,NA,35,NA,73.75,yes,NA
T021,swartberg,swartberg_T021,Passerina,obtusifolia,8521,Passerina obtusifolia,3.25,NA,49,NA,21.25,no,NA
T021,swartberg,swartberg_T021,Agathosma,capensis,173,Agathosma capensis,1.875,NA,22,NA,22.5,no,NA
T021,swartberg,swartberg_T021,Metalasia,densa,7321,Metalasia densa,1.75,NA,28,NA,20,no,NA
T021,swartberg,swartberg_T021,Cyclopia,intermedia,2748,Cyclopia intermedia,1.5,NA,4,NA,45,yes,NA
T021,swartberg,swartberg_T021,Protea,lorifolia,9167,Protea lorifolia,1.25,NA,4,NA,40,no,NA
T021,swartberg,swartberg_T021,Restio,capensis,9498,Restio capensis,1.25,NA,14,NA,30,yes,NA
T021,swartberg,swartberg_T021,Syncarpha,eximia,10840,Syncarpha eximia,1,NA,5,NA,35,no,NA
T021,swartberg,swartberg_T021,Tetraria,cuspidata,10925,Tetraria cuspidata,1,NA,1,NA,85,yes,NA
T021,swartberg,swartberg_T021,Erica,rosacea,4149,Erica rosacea,0.75,NA,3,NA,45,no,NA
T021,swartberg,swartberg_T021,Hypodiscus,albo-aristatus,5881,Hypodiscus albo-aristatus,0.625,NA,2,NA,52.5,yes,NA
T021,swartberg,swartberg_T021,Brunia,noduliflora,1638,Brunia noduliflora,0.25,NA,1,NA,35,yes,NA
T021,swartberg,swartberg_T021,Syncarpha,canescens,10836,Syncarpha canescens,0.25,NA,2,NA,35,no,NA
T022,agulhas,agulhas_T022,Erica,imbricata,3893,Erica imbricata,17.5,NA,133,NA,15,no,NA
T022,agulhas,agulhas_T022,Aulax,umbellata,1362,Aulax umbellata,16.75,NA,76,NA,25,no,NA
T022,agulhas,agulhas_T022,Erica,corifolia,3749,Erica corifolia,14,NA,125,NA,13.75,no,NA
T022,agulhas,agulhas_T022,Hypodiscus,aristatus,5884,Hypodiscus aristatus,10,NA,19,NA,45,no,NA
T022,agulhas,agulhas_T022,Restio,egregius,9524,Restio egregius,9.25,NA,10,NA,70,yes,NA
T022,agulhas,agulhas_T022,Restio,hyalinus,9540,Restio hyalinus,5.5,NA,60,NA,10,yes,NA
T022,agulhas,agulhas_T022,Elegia,hookeriana,3492,Elegia hookeriana,5,NA,15,NA,40,no,NA
T022,agulhas,agulhas_T022,Erica,interrupta,3908,Erica interrupta,2.5,NA,30,NA,10,no,NA
T023,agulhas,agulhas_T023,Restio,eleocharis,9526,Restio eleocharis,37,0,263,0,15,yes,1
T023,agulhas,agulhas_T023,Searsia,crenata,10121,Searsia crenata,12.75,0,5,0,182,no,1
T023,agulhas,agulhas_T023,Searsia,glauca,10126,Searsia glauca,10,0,3,0,243.66666666666666,no,1
T023,agulhas,agulhas_T023,Colpoon,compressum,2377,Colpoon compressum,1.25,0,1,0,107,no,1
T023,agulhas,agulhas_T023,Acacia,cyclops,5,Acacia cyclops,0.25,0,1,0,28,no,1
T023,agulhas,agulhas_T023,Carpobrotus,acinaciformis,1850,Carpobrotus acinaciformis,0.25,0,1,0,34,no,1
T023,agulhas,agulhas_T023,Metalasia,muricata,7338,Metalasia muricata,0.25,0,2,0,20,no,1
T024,agulhas,agulhas_T024,Passerina,rigida,8526,Passerina rigida,14.5,0.25,120,2,32.5,no,1
T024,agulhas,agulhas_T024,Ficinia,ramosissima,4748,Ficinia ramosissima,7.5,0,37,0,30,yes,1
T024,agulhas,agulhas_T024,Restio,eleocharis,9526,Restio eleocharis,5,0,63,0,15,no,1
T024,agulhas,agulhas_T024,Osteospermum,moniliferum,8144,Osteospermum moniliferum,4.5,1.25,3,1,127.5,no,1
T024,agulhas,agulhas_T024,Carpobrotus,acinaciformis,1850,Carpobrotus acinaciformis,2.5,0,1,0,211,no,1
T024,agulhas,agulhas_T024,Restio,vimineus,9635,Restio vimineus,2.5,0,15,0,22.5,no,1
T024,agulhas,agulhas_T024,Euclea,racemosa,4435,Euclea racemosa,1.25,0,3,0,30,no,1
T024,agulhas,agulhas_T024,Searsia,laevigata,10129,Searsia laevigata,1.25,0,1,0,191,no,1
T026,Swartberg,Swartberg_T026,Erica,phaeocarpa,4086,Erica phaeocarpa,16.25,NA,101,NA,45,no,NA
T026,Swartberg,Swartberg_T026,Thamnochortus,cinereus,10971,Thamnochortus cinereus,6.25,NA,46,NA,30,no,NA
T026,Swartberg,Swartberg_T026,Protea,lorifolia,9167,Protea lorifolia,4.5,NA,8,NA,60,no,NA
T026,Swartberg,Swartberg_T026,Tetraria,ustulata,10950,Tetraria ustulata,4,NA,60,NA,43.75,yes,NA
T026,Swartberg,Swartberg_T026,Hypodiscus,albo-aristatus,5881,Hypodiscus albo-aristatus,3,NA,15,NA,31.666666666666668,yes,NA
T026,Swartberg,Swartberg_T026,Phylica,imberbis,#N/A,Phylica imberbis,1.5,NA,3,NA,70,no,NA
T026,Swartberg,Swartberg_T026,Agathosma,imbricata,210,Agathosma imbricata,1.25,NA,5,NA,40,yes,NA
T027,Swartberg,Swartberg_T027,Erica,rosacea,4149,Erica rosacea,14.5,0,210,0,20,no,1
T027,Swartberg,Swartberg_T027,Elegia,filacea,3486,Elegia filacea,12.5,0,67,0,35,no,1
T027,Swartberg,Swartberg_T027,Hypodiscus,aristatus,5884,Hypodiscus aristatus,5,0,21,0,47.5,yes,1
T027,Swartberg,Swartberg_T027,Tetraria,cuspidata,10925,Tetraria cuspidata,4.75,0,11,0,65,yes,1
T027,Swartberg,Swartberg_T027,Restio,bolusii,9492,Restio bolusii,4.5,0,21,0,41.25,yes,1
T027,Swartberg,Swartberg_T027,Cannomois,scirpoides,1784,Cannomois scirpoides,4,0,13,0,46.25,yes,1
T027,Swartberg,Swartberg_T027,Protea,eximia,9152,Protea eximia,1.25,0,3,0,50,no,1
T027,Swartberg,Swartberg_T027,Protea,lorifolia,9167,Protea lorifolia,1.25,0,3,0,50,no,1
T027,Swartberg,Swartberg_T027,Syncarpha,eximia,10840,Syncarpha eximia,1,0,6,0,18.333333333333332,no,1
T027,Swartberg,Swartberg_T027,Protea,repens,9185,Protea repens,0.75,0,2,0,40,no,1
T028,Swartberg,Swartberg_T028,Cymbopogon,marginatus,2768,Cymbopogon marginatus,56.25,NA,215,NA,50,yes,NA
T028,Swartberg,Swartberg_T028,Stoebe,incana,10730,Stoebe incana,23.25,NA,37,NA,76.25,no,NA
T028,Swartberg,Swartberg_T028,Anthospermum,aethiopicum,654,Anthospermum aethiopicum,2,NA,8,NA,45,no,NA
T029,Swartberg,Swartberg_T029,Tetraria,ustulata,10950,Tetraria ustulata,72.5,0,145,0,65,yes,1
T029,Swartberg,Swartberg_T029,Osteospermum,junceum,8140,Osteospermum junceum,5.75,2,20,11,71.25,No,1
T029,Swartberg,Swartberg_T029,Elegia,capensis,3474,Elegia capensis,3,0,5,0,100,yes,1
T029,Swartberg,Swartberg_T029,Cymbopogon,marginatus,2768,Cymbopogon marginatus,2.25,0,18,0,43.75,yes,1
T029,Swartberg,Swartberg_T029,Hydrophilus,rattrayi,5846,Hydrophilus rattrayi,1.25,0,8,0,60,yes,1
T030,Swartberg,Swartberg_T030,Cannomois,scirpoides,1784,Cannomois scirpoides,12.5,0,49,0,60,yes,1
T030,Swartberg,Swartberg_T030,Hypodiscus,aristatus,5884,Hypodiscus aristatus,7.25,0,28,0,55,yes,1
T030,Swartberg,Swartberg_T030,Restio,bolusii,9492,Restio bolusii,6.5,0,29,0,50,yes,1
T030,Swartberg,Swartberg_T030,Elegia,filacea,3486,Elegia filacea,4,0,24,0,35,no,1
T030,Swartberg,Swartberg_T030,Thamnochortus,cinereus,10971,Thamnochortus cinereus,3.25,0,20,0,35,yes,1
T030,Swartberg,Swartberg_T030,Erica,rosacea,4149,Erica rosacea,2.875,0,40,0,20,no,1
T031,Swartberg,Swartberg_T031,Cannomois,scirpoides,1784,Cannomois scirpoides,9,0,14,0,65,yes,1
T031,Swartberg,Swartberg_T031,Pentameris,distichophylla,8762,Pentameris distichophylla,7.25,0,38,0,36.25,yes,1
T031,Swartberg,Swartberg_T031,Hypodiscus,striatus,5892,Hypodiscus striatus,5.75,0,32,0,32.5,yes,1
T031,Swartberg,Swartberg_T031,Restio,capensis,9498,Restio capensis,5.25,0,57,0,25,yes,1
T031,Swartberg,Swartberg_T031,Aspalathus,hirta,1066,Aspalathus hirta,2.75,0,10,0,40,yes,1
T031,Swartberg,Swartberg_T031,Leucadendron,salignum,6721,Leucadendron salignum,2.75,0,5,0,52.5,yes,1
T031,Swartberg,Swartberg_T031,Restio,sieberi,9611,Restio sieberi,0.8125,0,4,0,30,no,1
T031,Swartberg,Swartberg_T031,Elytropappus,rhinocerotis,3530,Elytropappus rhinocerotis,0.75,0,6,0,25,no,1
T031,Swartberg,Swartberg_T031,Relhania,speciosa,9476,Relhania speciosa,0.5,0,2,0,45,no,1
T031,Swartberg,Swartberg_T031,Erica,rigidula,4146,Erica rigidula,0.25,0,3,0,30,no,1
T032,Swartberg,Swartberg_T032,Phymaspermum,appressum,8925,Phymaspermum appressum,4.75,0,36,0,32.5,yes,1
T032,Swartberg,Swartberg_T032,Leucadendron,salignum,6721,Leucadendron salignum,3.25,0,4,0,70,yes,1
T032,Swartberg,Swartberg_T032,Osteospermum,polygaloides,8148,Osteospermum polygaloides,2.5,0.125,34,2,25,yes,1
T032,Swartberg,Swartberg_T032,Restio,capensis,9498,Restio capensis,2.5,0,36,0,20.5,yes,1
T032,Swartberg,Swartberg_T032,Cannomois,scirpoides,1784,Cannomois scirpoides,1.5,0,6,0,45,yes,1
T032,Swartberg,Swartberg_T032,Hypodiscus,striatus,5892,Hypodiscus striatus,1.25,0,6,0,36.666666666666664,yes,1
T032,Swartberg,Swartberg_T032,Cymbopogon,marginatus,2768,Cymbopogon marginatus,0.75,0,15,0,15,yes,1
T032,Swartberg,Swartberg_T032,Restio,unispicatus,9628,Restio unispicatus,0.75,0,3,0,35,yes,1
T032,Swartberg,Swartberg_T032,Elytropappus,rhinocerotis,3530,Elytropappus rhinocerotis,0.5,0,2,0,40,no,1
T032,Swartberg,Swartberg_T032,Anthospermum,aethiopicum,654,Anthospermum aethiopicum,0.375,0,1,0,50,no,1
T032,Swartberg,Swartberg_T032,Aspalathus,hirta,1066,Aspalathus hirta,0.375,0,3,0,20,yes,1
T032,Swartberg,Swartberg_T032,Machairophyllum,albidum,7050,Machairophyllum albidum,0.125,0,1,0,40,yes,1
T033,Swartberg,Swartberg_T033,Cannomois,scirpoides,1784,Cannomois scirpoides,13.75,0,34,0,67.5,yes,1
T033,Swartberg,Swartberg_T033,Hypodiscus,striatus,5892,Hypodiscus striatus,13.75,0,49,0,47.5,yes,1
T033,Swartberg,Swartberg_T033,Aspalathus,hirta,1066,Aspalathus hirta,4.5,0,22,0,31.25,yes,1
T033,Swartberg,Swartberg_T033,Crassothonna,cacalioides,#N/A,Crassothonna cacalioides,1.5,0,9,0,31.666666666666668,no,1
T033,Swartberg,Swartberg_T033,Felicia,filifolia,4644,Felicia filifolia,1.25,0,3,0,55,yes,1
T033,Swartberg,Swartberg_T033,Pentameris,curvifolia,8759,Pentameris curvifolia,1,0,3,0,50,yes,1
T033,Swartberg,Swartberg_T033,Rafnia,capensis,9444,Rafnia capensis,1,0,4,0,50,yes,1
T033,Swartberg,Swartberg_T033,Anthospermum,aethiopicum,654,Anthospermum aethiopicum,0.75,0,4,0,40,no,1
T034,Swartberg,Swartberg_T034,Aspalathus,kougaensis,1085,Aspalathus kougaensis,22,0,32,0,90,yes,1
T034,Swartberg,Swartberg_T034,Montinia,caryophyllacea,7454,Montinia caryophyllacea,6.75,0,21,0,80,yes,1
T034,Swartberg,Swartberg_T034,Elytropappus,rhinocerotis,3530,Elytropappus rhinocerotis,4.25,0,17,0,60,no,1
T034,Swartberg,Swartberg_T034,Restio,andreaeanus,9483,Restio andreaeanus,3.25,0,26,0,50,yes,1
T034,Swartberg,Swartberg_T034,Osteospermum,moniliferum,8144,Osteospermum moniliferum,2.25,0,3,0,87.5,no,1
T037,rooiberg,rooiberg_T037,Portulacaria,afra,9090,Portulacaria afra,58,NA,38,NA,175,yes,NA
T037,rooiberg,rooiberg_T037,Mesembryanthemum,junceum,7253,Mesembryanthemum junceum,2,NA,2,NA,110,no,NA
T037,rooiberg,rooiberg_T037,Nemesia,anisocarpa,7856,Nemesia anisocarpa,1.5,NA,31,NA,15,no,NA
T037,rooiberg,rooiberg_T037,Aptosimum,indivisum,777,Aptosimum indivisum,1.25,NA,43,NA,20,no,NA
T037,rooiberg,rooiberg_T037,Roepera,pygmaea,9726,Roepera pygmaea,1,NA,1,NA,100,no,NA
T037,rooiberg,rooiberg_T037,Euphorbia,rhombifolia,4526,Euphorbia rhombifolia,0.75,NA,1,NA,85,yes,NA
T037,rooiberg,rooiberg_T037,Ruschia,pungens,9950,Ruschia pungens,0.5,NA,1,NA,65,no,NA
T037,rooiberg,rooiberg_T037,Malephora,latipetala,7078,Malephora latipetala,0.25,NA,1,NA,50,no,NA
T038,rooiberg,rooiberg_T038,Diosma,prama,3073,Diosma prama,17,NA,84,NA,51.25,no,NA
T038,rooiberg,rooiberg_T038,Elytropappus,rhinocerotis,3530,Elytropappus rhinocerotis,9,NA,37,NA,60,no,NA
